Name,Bus,X,Y,Carrier,V_mag_pu_set,V_mag_pu_min,V_mag_pu_max,Frequency,Control,Generator,Sub_network
Paya Lebar 400kV Substations,1,1.333232,103.898959,AC,1,0,inf,50,PQ,,
Kallang Basin 400kV Substation,2,1.317361,103.85377,AC,1,0,inf,50,PQ,,
Ayer Raja 400kV Substation,3,1.296886,103.789363,AC,1,0,inf,50,PQ,,
West Jurong Island 400kV Substation,4,1.27377,103.676869,AC,1,0,inf,50,PQ,,
Labrador 400kV Substation,5,1.271418,103.800624,AC,1,0,inf,50,PQ,,
Tuas Power Station 400kV Substation,6,1.288827,103.642432,AC,1,0,inf,50,PQ,,
Admiralty Substation 230kV Substation,7,1.464964,103.799098,AC,1,0,inf,50,PQ,,
Choa Chu Kang 230kV Substation ,8,1.376376,103.755486,AC,1,0,inf,50,PQ,,
Tampines Wafer 230kV Substation,9,1.36567,103.927062,AC,1,0,inf,50,PQ,,
Kallang Bahru 230kV Substation,10,1.320095,103.870883,AC,1,0,inf,50,PQ,,
Kampong Java 230kV Substation,11,1.312877,103.844328,AC,1,0,inf,50,PQ,,
Jurong Island 230kV Substation,12,1.271137,103.707447,AC,1,0,inf,50,PQ,,
Jurong Pier 230kV Substation,13,1.311543,103.712233,AC,1,0,inf,50,PQ,,
Upper Jurong 230kV Substation,14,1.32882,103.684346,AC,1,0,inf,50,PQ,,
Ayer Raja 230kV Substation,15,1.296886,103.789363,AC,1,0,inf,50,PQ,,
Labrador 230kV Substation,16,1.271418,103.800624,AC,1,0,inf,50,PQ,,
Paya Lebar 230kV Substations,17,1.333232,103.898959,AC,1,0,inf,50,PQ,,
Crawford Street 66kV Substation,18,1.306866,103.864836,AC,1,0,inf,50,PQ,,
Ann Siang Road 66kV Substation,19,1.280364,103.846013,AC,1,0,inf,50,PQ,,
Ang Mo Kio 66kV Substation,20,1.369593,103.85733,AC,1,0,inf,50,PQ,,
Sembawang 66kV Substation,21,1.452225,103.831321,AC,1,0,inf,50,PQ,,
Gambas 66kV Substation,22,1.44384,103.814404,AC,1,0,inf,50,PQ,,
Woodland 66kV Substation,23,1.422283,103.793822,AC,1,0,inf,50,PQ,,
Jalan Bahar 66kV Substation,24,1.361968,103.692828,AC,1,0,inf,50,PQ,,
